Sentence,Aspect Term,polarity,augmented_sentences
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,"The portions were small for the main course; I had salmon and was unimpressed, while my girlfriend's chicken was tasty."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,"Main course servings were tiny; my salmon left me disappointed, though my girlfriend enjoyed her chicken."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,"We got small servings for the main dish; the salmon I ate failed to impress me, but my girlfriend liked her chicken."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,"The servings were tiny, and my salmon didn't impress me."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,I got a small portion of salmon that left me disappointed.
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative,The main course had little servings; my salmon failed to impress.
The menu is limited but almost all of the dishes are excellent.,menu,negative,"The menu is narrow, but nearly all of the dishes are excellent."
The menu is limited but almost all of the dishes are excellent.,menu,negative,"The menu offers few options, though almost every dish is excellent."
The menu is limited but almost all of the dishes are excellent.,menu,negative,"The menu is restricted, yet almost all dishes are superb."
The rice was poor quality and was cooked so badly it was hard.,cooked,negative,The rice was of poor quality and was cooked so poorly that it was hard.
The rice was poor quality and was cooked so badly it was hard.,cooked,negative,The rice was low quality and was cooked so badly that it turned out hard.
The rice was poor quality and was cooked so badly it was hard.,cooked,negative,The rice was inferior and was cooked so poorly it became hard.
They even have a section in the menu called American Chinese food!,American Chinese food,negative,"They even have a section in the menu called American Chinese food, but it's a letdown."
They even have a section in the menu called American Chinese food!,American Chinese food,negative,"They even have a section in the menu titled American Chinese food, which turns out to be disappointing."
They even have a section in the menu called American Chinese food!,American Chinese food,negative,"They even have a section in the menu named American Chinese food, and it's underwhelming."
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,bar,negative,"What my wife and I hated was how loud it was, which made it feel like a 'bar'."
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,bar,negative,"The place was so loud that it gave off the vibe of a bar, something my wife and I couldn't stand."
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,bar,negative,"We both despised the loudness, as it made the place feel like a bar."
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,"On some visits I receive bad food and bad service, while on others the service is good but the food remains bad."
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,"Occasionally the food is bad and the service is bad, but sometimes the service improves while the food stays bad."
