sentence,sentiment,topic
giáo viên nhiệt tình gần gũi .,2,0
chú trọng phần bài tập và thực hành về mạch .,0,1
thầy dạy tận tâm và nhiệt tình .,2,0
nhìn chung thầy dạy tốt và khá hiền .,2,0
"giảng dễ hiểu , dễ tiếp thu .",2,0
"cô rất nhiệt tình , bài giảng dễ hiểu .",2,0
giảng bài tốt .,2,0
"giảng viên nhiệt tình , giàu kinh nghiệm .",2,0
"giảng viên nhiệt tình , dạy bài kỹ , chi tiết , cập nhật bài giảng liên tục .",2,0
"vui vẻ , truyền đạt tốt .",2,0
"giảng viên không tổ chức buổi gặp sinh viên nào , và cũng không có bài tập , nội dung phần thực hành .",0,0
"cần một giảng viên có nhiệt huyết , tận tâm với lớp hơn .",0,0
"thầy tận tụy , hết mình vì sinh viên .",2,0
cần thêm vài ví dụ cụ thể hơn và có bài tập để rèn luyện .,0,1
"giảng dạy tận tình , lên lớp đầy đủ .",2,0
"không nhiệt tình , không cập nhật slide .",0,0
"cách dạy dễ hiểu , hướng dẫn tận tình .",2,0
"truyền đạt bài học tốt , dễ hiểu .",2,0
thầy khá nhiệt tình .,2,0
khả năng truyền đạt .,1,0
giảng viên truyền đạt kiến thức chưa tốt .,0,0
"nên tăng cường luyện nói trên lớp , hướng dẫn cách nói nhanh lưu loát .",0,1
"cả 3 , 4 buổi thực hành theo hình thức 2 môn này có thầy cô này tham gia hay hướng dẫn buổi nào đâu mà đánh giá , chỉ có mỗi thầy wzjwz43 thôi .",0,3
"giảng dễ hiểu , nhiệt tình .",2,0
nhà trường nên dạy những chuẩn sql mới vì chuẩn sql 92 hiện nay không còn phù hợp với những phiên bản sql mới và nó đã quá cũ rồi .,0,1
giảng viên dạy quá nhanh .,0,0
"thầy vui tính , dạy hay , dễ hiểu .",2,0
"khi giảng thầy chưa chỉ rõ trọng tâm của bài để sinh viên nắm bắt và dễ tiếp thu hơn , giọng thầy còn nhỏ , đều đều .",0,0
"thầy giảng bài hay , hài hước .",2,0
slide cần giải chi tiết các ví dụ để các học sinh không lên lớp được thì có thể hiểu được bài giảng .,0,1
"không nắm được thực lực , bài tập quá sức với sinh viên .",0,0
"cách giảng dạy thoải mái , dễ tiếp thu .",2,0
"hy vọng lần sau thầy dạy sẽ mang đến thêm một số bài tập kèm hướng dẫn để bọn em dễ dàng vận dụng kiến thức mình học hơn , khi thầy giảng xong , có thể bọn em nói bọn em hiểu nhưng bọn em không nhớ lâu được do không có chỗ để bọn em vận dụng , nên cuối cùng đến khi thi bọn em vẫn trả lời rằng bọn em không hiểu .",0,0
"sử dụng từ ngữ không phù hợp , có thái độ phân biệt với một vài sinh viên , thường nói chuyện với các sinh viên nữ .",0,1
cô rất nghiêm túc colonsad .,0,0
"nhiệt tình , giảng dạy có hiệu quả cao .",2,0
"em nghĩ như vậy sẽ tiếp thu bài tốt hơn vì được tiếp thu dần dần , ít rồi thành nhiều dễ tiếp thu hơn là nhiều rồi nhiều và cuối cùng không được gì vì quá nhiều .",0,0
trình bày chi tiết .,2,0
"giảng viên tận tâm , nhiệt tình , lên lớp đúng giờ .",2,0
truyền đạt bài giảng rất tốt .,2,0
"giảng viên nhiệt tình , vui vẻ .",2,0
"thầy dạy dễ hiểu , nhiệt tình , vui tính .",2,0
"hiện tại tốt , không cần điều chỉnh gì thêm .",2,3
"giảng bài tâm huyết , dễ tiếp thu .",2,0
phòng thực hành cần được nâng cấp .,0,2
em chưa gặp thầy lần nào .,1,0
"giáo viên dạy dễ hiểu , hướng dẫn và cho kiểm tra phù hợp với chương trình .",2,0
deadline cho thời gian đủ dài để sinh viên hoàn thành bài tập .,2,1
thầy đôi lúc nói quá nhanh .,0,0
"thầy dạy nghiêm túc , theo dõi sát buổi học .",2,0
"khả năng truyền đạt nội dung học tập chưa cao , chưa nêu rõ ràng nội dung của môn .",0,0
cách truyền tải vấn đề .,1,0
mặc dù giảng viên nói khá nhiều kiến thức trên lớp học nhưng số lượng sinh viên hiểu hết kiến thức cực kỳ ít .,0,0
cô dạy hơi nhanh .,0,0
vui nhiệt tình .,2,0
nên giao chìa khóa phòng thực hành cho trực tiếp giáo viên .,0,1
lên lớp không đầy đủ .,0,0
giảng viên cho học sinh xem thêm nhiều video tiếng anh hay .,2,0
không chỉ phần mềm .,0,3
"dạy không đủ bài giảng có thi , không giúp sinh viên mở rộng các bài tập liên quan đến bài giảng , chỉ dạy y chang theo slide mà không rõ sinh viên đã hiểu chưa .",0,0
nội dung môn học khá khó để tiếp thu .,0,1
"chương trình học khá nặng , quá nhiều kiến thức .",0,1
