row_id,id,text,language_style,aspect,entity,attribute,aspect_label,sentiment,sentiment_label,is_irony,surface_sentiment,irony_type,confidence,is_augmented,source
vsfc_00000_0,vsfc_00000,Chất lượng vật chất kém.,formal,FACILITIES#Classroom,FACILITIES,Classroom,11,negative,0,FALSE,negative,,0.95,FALSE,vsfc_reannotated
vsfc_00001_0,vsfc_00001,"Phần mềm học tập quá khó sử dụng, khiến sinh viên cảm thấy khó chịu.",formal,FACILITIES#Platforms,FACILITIES,Platforms,12,negative,0,FALSE,negative,,0.98,FALSE,vsfc_reannotated
vsfc_00002_0,vsfc_00002,"Trường tôi thiếu những tiện ích cơ bản như máy photocopy, máy in và các phòng học với điều hòa nhiệt độ đúng tiêu chuẩn.",formal,FACILITIES#Classroom,FACILITIES,Classroom,11,negative,0,FALSE,negative,,0.95,FALSE,vsfc_reannotated
vsfc_00003_0,vsfc_00003,Cần tạo thêm các hoạt động gắn kết giữa sinh viên và giảng viên.,formal,OTHERS#Recommendation,OTHERS,Recommendation,14,neutral,1,FALSE,neutral,,0.9,FALSE,vsfc_reannotated
vsfc_00004_0,vsfc_00004,Họ rất khoan dung và lượng giác trong quan điểm của mình.,colloquial,LECTURER#Behavior,LECTURER,Behavior,3,positive,2,FALSE,positive,,0.85,FALSE,vsfc_reannotated
vsfc_00005_0,vsfc_00005,Học phần này chẳng có gì mới và cập nhật.,formal,COURSE#Curriculum,COURSE,Curriculum,5,negative,0,FALSE,negative,,0.95,FALSE,vsfc_reannotated
vsfc_00006_0,vsfc_00006,Môi trường học tập hai ngôn ngữ (Tiếng Việt và Tiếng Anh) giúp sinh viên phát triển các kỹ năng ngôn ngữ để chuẩn bị cho tương lai của họ.,formal,COURSE#Curriculum,COURSE,Curriculum,5,positive,2,FALSE,positive,,0.9,FALSE,vsfc_reannotated
vsfc_00007_0,vsfc_00007,Ngôn ngữ tiếng Anh được sử dụng trong nhiều môn học như là ngôn ngữ chính.,formal,COURSE#Curriculum,COURSE,Curriculum,5,neutral,1,FALSE,neutral,,0.9,FALSE,vsfc_reannotated
vsfc_00008_0,vsfc_00008,Họ không bao giờ là những người thật sự trung thực.,formal,LECTURER#Behavior,LECTURER,Behavior,3,negative,0,FALSE,negative,,0.95,FALSE,vsfc_reannotated
vsfc_00009_0,vsfc_00009,Anh ta luôn tràn đầy tình yêu thương và giúp đỡ người khác.,formal,LECTURER#Behavior,LECTURER,Behavior,3,positive,2,FALSE,positive,,0.95,FALSE,vsfc_reannotated
