Sentence,Aspect Term,polarity
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",salmon,negative
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",bhelpuri,positive
It is so easy to get a reservation at a top place in NYC with a week's notice.,reservation,positive
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",bar,neutral
I loved everythig about it-especially the shows and actors.,shows,positive
The menu is limited but almost all of the dishes are excellent.,menu,negative
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive
My fish was delicious in an incredible curry sauce.,curry sauce,positive
"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",in-house lady DJ,positive
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",ambiance,neutral
The pizza is the best if you like thin crusted pizza.,pizza,positive
Lucky Strike is a great casual place to just grab a bite to eat.,place,positive
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",atmosphere,positive
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",sushi,positive
"The staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",chef,positive
"Our waitress was sweet and accomodating, not overbearing.",waitress,positive
The rice was poor quality and was cooked so badly it was hard.,cooked,negative
"Everything looks great, the drinks, the decor, the food, even the people.",food,positive
They even have a section in the menu called American Chinese food!,American Chinese food,negative
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,bar,negative
All the desserts the group tried got favorable reviews.,desserts,positive
The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,quality of food,positive
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral
"Excellent atmosphere, delicious dishes good and friendly service.",dishes,positive
Salads were fantastic.,Salads,positive
"If you're looking for a great meal at a decent price, go to Del Frisco's!",meal,positive
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",lunch,neutral
"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.",corned beef,positive
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive
I've had pizza both times and the caprese salad appetizer.,pizza,neutral
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,food,negative
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,positive
"Great food, great lay out and awesome service.",service,positive
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",bagel with lox spread,positive
"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",prices,positive
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative
Although be warned their dinner menu to sit and take out prices are different.,prices,neutral
"After we got our sashimi order, I could not believe how small the portions were!",portions,negative
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative
"I didn't complain, I liked the atmosphere so much.",atmosphere,positive
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative
Decor leaves something to be desired.,Decor,negative
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",dishes,positive
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative
"Also, if you don't want to sit at a certain table, you don't have to!",table,positive
We won't go to this place again for a good meal.,meal,negative
They couldn't even make a salad that was appealing.,salad,negative
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",after dinner drink,positive
"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.",atmosphere,conflict
The pizza is delicious and the proprietor is one of the nicest in NYC.,pizza,positive
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",french fries,positive
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",food,neutral
"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.",view,positive
"I found the food, service and value exceptional everytime I have been there.",service,positive
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative
They have authentic Indian at amazin prices.,prices,positive
For dinner I had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,neutral
"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",food,positive
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",entree range,positive
"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent.",Angry Lobster,positive
Definitely not worth the price!,price,negative
"We only ordered desserts and drinks, but no refills were offered.",drinks,neutral
This place must have cost the owners afortune to build.,owners,neutral
We both opted for a pasta dish and they were served timely and fresh.,served,positive
"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",Prix Fixe,neutral
The only thing more wonderful than the food (which is exceptional) is the service.,food,positive
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,negative
"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",lamb vindaloo,positive
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",main course,neutral
The flavors robust and subtle.,flavors,positive
But the pizza is way to expensive.,pizza,negative
Ambiance- relaxed and stylish.,Ambiance,positive
The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",table,neutral
"The place is sleek, modern and playfull and i will return again frequently.",place,positive
The sushi is average and the prices are anything but.,sushi,neutral
All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere,positive
I have to say I have never had a disapointing meal here.,meal,positive
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",lamb,positive
Baluchi's has solid food and a nice decor at reasonable prices.,decor,positive
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dishes,neutral
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral
"Good crowd, good outdoor seating, with a hip japanese vibe.",outdoor seating,positive
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",service,positive
And the Tom Kha soup was pathetic.,Tom Kha soup,negative
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive
"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",fish tanks,positive
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative
now if they could only get a toaster.,toaster,negative
"The first time the sushi was outstanding, the second time it was a little bland.",sushi,conflict
"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",menu,conflict
Such nice people working here - but I have to review the food.,people,positive
Located at the end of a magnificent block.,Located,positive
The place itself is beautiful the bar scene seems to be happening.,bar scene,positive
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,mashed potatoes,positive
The dim sum is delectable while the prices are quite easy on the wallet.,prices,positive
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,neutral
This is a consistently great place to dine for lunch or dinner.,lunch,neutral
Best Taiwanese food in NY!,Taiwanese food,positive
"I recommend their Pad See Ew, Pork Chops or Tofu plates.",Tofu plates,positive
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative
"The beverages were excellent, and the dessert was good.",beverages,positive
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",tapas,positive
Best Reuben sandwich ever!,Reuben sandwich,positive
Three of us arrived for dinner about 5:30 on a week night without reservations.,dinner,neutral
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",dessert,neutral
