id,text,sentiment,aspect
3,đi học đầy đủ full điểm chuyên cần .,neutral,noi_chung
7,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",neutral,chuong_trinh_hoc
12,dễ bị áp lực .,negative,noi_chung
13,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",negative,hanh_vi
16,hài lòng về tất cả .,positive,noi_chung
22,tiết học thoải mái .,positive,noi_chung
23,"thầy nhiệt tình , quan tâm tới sinh viên .",positive,hanh_vi
29,không giúp đỡ sinh viên trong những vấn đề xung quanh .,negative,hanh_vi
35,thầy chép bảng nhiều .,negative,ky_nang_giang_day
37,"chúc các thầy cô , anh chị làm việc vui vẻ !",positive,noi_chung
49,"thầy nhiệt tình , dễ chịu .",positive,hanh_vi
56,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,neutral,kinh_nghiem
68,tạo hứng thú cho sinh viên .,positive,ky_nang_giang_day
70,có hứng thú học .,positive,noi_chung
86,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,ky_nang_giang_day
90,cô hướng dẫn thực hành khá đầy đủ .,positive,ky_nang_giang_day
91,được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,kinh_nghiem
93,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,kien_thuc
101,tôi cảm thấy giảng viên dạy rất tốt .,positive,ky_nang_giang_day
102,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,hanh_vi
106,coi lại thái độ giảng viên thực hành .,negative,hanh_vi
108,bài giảng của thầy rất nhiệt tình .,positive,hanh_vi
141,"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,noi_chung
142,đề thi môn dài sinh viên làm không đủ thời gian .,negative,bai_tap
143,cho làm nhiều bài test .,negative,bai_tap
146,thầy giảng dạy tốt .,positive,ky_nang_giang_day
