id,text,sentiment,aspect
1,dạy quá thời gian quy định .,negative,ky_nang_giang_day
2,"giảng viên dạy dễ hiểu , vui tính .",positive,ky_nang_giang_day
2,"giảng viên dạy dễ hiểu , vui tính .",positive,hanh_vi
3,"thầy dạy khá nâng cao , một số tụi em học không kịp .",negative,ky_nang_giang_day
4,sinh viên cần nhiều hơn những bài như vậy .,negative,bai_tap
4,sinh viên cần nhiều hơn những bài như vậy .,negative,de_xuat
5,thầy tận dụng tốt thời gian và truyền đạt ý tưởng cũng như niềm vui học oop .,positive,ky_nang_giang_day
6,cần có nền tảng trước khi xây dựng cả một website .,negative,kien_thuc
6,cần có nền tảng trước khi xây dựng cả một website .,neutral,de_xuat
7,giảng viên dạy hay .,positive,ky_nang_giang_day
8,thầy truyền tải đầy đủ kiến thức .,positive,ky_nang_giang_day
8,thầy truyền tải đầy đủ kiến thức .,positive,kien_thuc
9,"máy chiếu quá mờ , đề nghị thay đổi .",negative,thiet_bi_day_hoc
9,"máy chiếu quá mờ , đề nghị thay đổi .",neutral,de_xuat
10,"giảng viên giảng dạy dễ hiểu , cho bài tập và ví dụ hay , sát với bài .",positive,ky_nang_giang_day
10,"giảng viên giảng dạy dễ hiểu , cho bài tập và ví dụ hay , sát với bài .",positive,kinh_nghiem
10,"giảng viên giảng dạy dễ hiểu , cho bài tập và ví dụ hay , sát với bài .",positive,bai_tap
11,giảng bài kém hiệu quả .,negative,ky_nang_giang_day
12,rất hữu ích .,positive,noi_chung
13,"lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 , 2010 để việc học và thi trở nên dễ dàng , hiệu quả hơn !",negative,thiet_bi_day_hoc
13,"lại dùng visual studio 2005 nên tôi xin có ý kiến về việc nâng cấp bản visual studio lên 2008 , 2010 để việc học và thi trở nên dễ dàng , hiệu quả hơn !",neutral,de_xuat
14,"cô nhiệt tình , dạy hay , nhiều bài tập .",positive,ky_nang_giang_day
14,"cô nhiệt tình , dạy hay , nhiều bài tập .",positive,hanh_vi
14,"cô nhiệt tình , dạy hay , nhiều bài tập .",neutral,bai_tap
15,chưa truyền đạt kiến thức một cách hiệu quả nhất .,negative,ky_nang_giang_day
16,thầy vui vẻ dạy dễ hiểu .,positive,ky_nang_giang_day
16,thầy vui vẻ dạy dễ hiểu .,positive,hanh_vi
17,chất lượng phòng thực hành quá kém .,negative,thiet_bi_day_hoc
18,cách dạy nhàm chán .,negative,ky_nang_giang_day
19,"thầy đưa ra những ví dụ rất nhạy cảm , đặc biệt là đối với những bạn nữ .",negative,hanh_vi
20,"thầy dạy hay , quan tâm học sinh , nhiệt tình .",positive,ky_nang_giang_day
20,"thầy dạy hay , quan tâm học sinh , nhiệt tình .",positive,hanh_vi
21,cô dạy có phần hơi nhanh .,negative,ky_nang_giang_day
22,chưa nhận được sự hỗ trợ kịp thời từ giảng viên .,negative,hanh_vi
23,giáo viên tốt và nhiều năng lượng .,positive,hanh_vi
24,"thầy dạy dạy hay , nhiệt tình , vui vẻ .",positive,ky_nang_giang_day
24,"thầy dạy dạy hay , nhiệt tình , vui vẻ .",positive,hanh_vi
25,"giáo viên thân thiện , giảng giải dễ hiểu .",positive,ky_nang_giang_day
25,"giáo viên thân thiện , giảng giải dễ hiểu .",positive,hanh_vi
26,thầy hay đi muộn .,negative,hanh_vi
27,cách giảng dạy của thầy rất tuyệt vời rất sát với thực tế .,positive,ky_nang_giang_day
27,cách giảng dạy của thầy rất tuyệt vời rất sát với thực tế .,positive,kinh_nghiem
28,"vui , nhiệt tình với sinh viên , tận tâm giúp đỡ sinh viên .",positive,hanh_vi
29,"giảng viên dạy dễ hiểu , phát âm chuẩn và thường tương tác với sinh viên trong buổi học .",positive,ky_nang_giang_day
29,"giảng viên dạy dễ hiểu , phát âm chuẩn và thường tương tác với sinh viên trong buổi học .",positive,hanh_vi
30,"quan tâm đến học , giảng dạy tận tâm , dễ hiểu .",positive,ky_nang_giang_day
30,"quan tâm đến học , giảng dạy tận tâm , dễ hiểu .",positive,hanh_vi
31,"thầy dạy tốt , có lượng kiến thức chất lượng cho sinh viên .",positive,ky_nang_giang_day
31,"thầy dạy tốt , có lượng kiến thức chất lượng cho sinh viên .",positive,kien_thuc
32,ra các dạng của đề thi !,neutral,de_xuat
33,"thầy có tâm huyết trong việc giảng dạy , sẵn sàng giảng lại những kiến thức chưa rõ .",positive,ky_nang_giang_day
33,"thầy có tâm huyết trong việc giảng dạy , sẵn sàng giảng lại những kiến thức chưa rõ .",positive,hanh_vi
34,môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch .,negative,bai_tap
34,môn bài tập ta thường học trong phòng với đồ lau bảng không sạch làm ảnh hưởng đến các bài tập tiếp theo khi các bạn làm đè lên phần bôi chưa sạch .,negative,thiet_bi_day_hoc
35,mong cô có thể giảng dạy nội dung dễ hiểu hơn .,negative,ky_nang_giang_day
35,mong cô có thể giảng dạy nội dung dễ hiểu hơn .,neutral,de_xuat
36,đi dạy đúng giờ và bù đủ số buổi vắng .,positive,hanh_vi
37,quan tâm đến nhiều sinh viên hơn vì trong lớp trình độ khá chênh lệch mà cũng không quá nhiều sinh viên .,negative,hanh_vi
37,quan tâm đến nhiều sinh viên hơn vì trong lớp trình độ khá chênh lệch mà cũng không quá nhiều sinh viên .,negative,de_xuat
38,"mỗi học kỳ có thể là đồ án khác nhau cho toàn bộ sinh viên để doubledot tránh tình trạng "" xào "" lại các đồ án cũ, nên có chung một quy tắc chuẩn để chấm điểm cho sinh viên .",negative,bai_tap
38,"mỗi học kỳ có thể là đồ án khác nhau cho toàn bộ sinh viên để doubledot tránh tình trạng "" xào "" lại các đồ án cũ, nên có chung một quy tắc chuẩn để chấm điểm cho sinh viên .",negative,cham_diem
38,"mỗi học kỳ có thể là đồ án khác nhau cho toàn bộ sinh viên để doubledot tránh tình trạng "" xào "" lại các đồ án cũ, nên có chung một quy tắc chuẩn để chấm điểm cho sinh viên .",negative,de_xuat
39,cô dạy rất tâm huyết và hiệu quả .,positive,ky_nang_giang_day
39,cô dạy rất tâm huyết và hiệu quả .,positive,hanh_vi
40,tuân thủ đúng giờ học .,positive,hanh_vi
41,không có ý kiến thêm .,neutral,noi_chung
42,buổi nào cũng muộn hơn 15 phút .,negative,hanh_vi
43,giảng bài .,neutral,noi_chung
44,"giảng viên rất tận tâm , nhiệt tình .",positive,hanh_vi
45,"bỏ môn này hoặc đưa ra chương trình học đơn giản , dễ hiểu hơn cho sinh viên , nắm chắc còn hơn học nhiều mà chẳng được bao nhiêu .",negative,chuong_trinh_hoc
45,"bỏ môn này hoặc đưa ra chương trình học đơn giản , dễ hiểu hơn cho sinh viên , nắm chắc còn hơn học nhiều mà chẳng được bao nhiêu .",neutral,de_xuat
46,"giáo viên nên giảng bài cho học sinh , không nên ngồi để học sinh tự nghiên cứu .",negative,ky_nang_giang_day
46,"giáo viên nên giảng bài cho học sinh , không nên ngồi để học sinh tự nghiên cứu .",negative,hanh_vi
46,"giáo viên nên giảng bài cho học sinh , không nên ngồi để học sinh tự nghiên cứu .",neutral,de_xuat
47,hay cho nghỉ liên tục vì đi công tác .,neutral,de_xuat
48,thầy thân thiện vầ nhiệt tình .,positive,hanh_vi
49,anh văn là môn học quá khó đối với em .,negative,chuong_trinh_hoc
50,cho nhiều bài tập để học tập cũng như ôn thi .,positive,bai_tap
51,hồ bơi bẩn .,negative,thiet_bi_day_hoc
52,"thầy rất thẳng thắng trong các cuộc nói chuyện , giảng bài , điểm thi .",positive,ky_nang_giang_day
52,"thầy rất thẳng thắng trong các cuộc nói chuyện , giảng bài , điểm thi .",positive,hanh_vi
52,"thầy rất thẳng thắng trong các cuộc nói chuyện , giảng bài , điểm thi .",positive,cham_diem
53,còn trong bài thầy dạy hơi nâng cao nên không kịp tiến độ chương trình học .,negative,ky_nang_giang_day
53,còn trong bài thầy dạy hơi nâng cao nên không kịp tiến độ chương trình học .,negative,chuong_trinh_hoc
54,"dạy nhiệt tình , hướng dẫn dễ hiểu .",positive,ky_nang_giang_day
54,"dạy nhiệt tình , hướng dẫn dễ hiểu .",positive,hanh_vi
55,tới khi đi làm thì không chuyên về lĩnh vực nào .,negative,noi_chung
56,có thêm các đồ án mang tính chất sáng tạo .,negative,bai_tap
56,có thêm các đồ án mang tính chất sáng tạo .,neutral,de_xuat
57,thầy sử dụng tiếng anh để sinh viên làm quen tên các thiết bị .,neutral,ky_nang_giang_day
58,"giảng viên nhiệt tình , vui vẻ , giải đáp hết mọi thắc mắc sinh viên .",positive,hanh_vi
59,nên gắn chặt hơn nữa môn học với thực tiễn .,negative,chuong_trinh_hoc
59,nên gắn chặt hơn nữa môn học với thực tiễn .,neutral,de_xuat
60,mặc dù không được gặp giảng viên trong học kỳ qua nhưng em cũng đã cơ bản hoàn thành được đồ án .,negative,hanh_vi
60,mặc dù không được gặp giảng viên trong học kỳ qua nhưng em cũng đã cơ bản hoàn thành được đồ án .,neutral,bai_tap
61,bài tập về nhà quá ít .,negative,bai_tap
62,các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .,negative,thiet_bi_day_hoc
62,các phòng máy nên được cài đặt phần mềm liên quan đầy đủ hơn .,neutral,de_xuat
63,"cô là giáo viên rất nhiệt tình với sinh viên , mong cô cứ như vậy hoài .",positive,hanh_vi
63,"cô là giáo viên rất nhiệt tình với sinh viên , mong cô cứ như vậy hoài .",positive,de_xuat
64,"cô giáo tận tâm , nhiệt tình .",positive,hanh_vi
65,giảng viên cho nhiều bài tập để làm .,neutral,bai_tap
66,thầy giảng thực tế vào bài tập .,positive,ky_nang_giang_day
67,chưa thấy rõ mục tiêu của môn học .,negative,chuong_trinh_hoc
68,thầy để tụi em tự tìm hiểu cũng là một cách hay nhưng hơi khó đối với tụi em .,neutral,ky_nang_giang_day
69,nhiều kiến thức nói nhanh và khó hiểu .,negative,ky_nang_giang_day
70,"thầy dạy hay , cách dạy thu hút và thầy rất tâm huyết , giỏi , kiến thức sâu rộng , có phương pháp dạy khoa học , dễ hiểu .",positive,ky_nang_giang_day
70,"thầy dạy hay , cách dạy thu hút và thầy rất tâm huyết , giỏi , kiến thức sâu rộng , có phương pháp dạy khoa học , dễ hiểu .",positive,hanh_vi
70,"thầy dạy hay , cách dạy thu hút và thầy rất tâm huyết , giỏi , kiến thức sâu rộng , có phương pháp dạy khoa học , dễ hiểu .",positive,kien_thuc
71,cập nhật giáo trình chung để giảng dạy môn học .,neutral,cung_cap_tai_lieu
71,cập nhật giáo trình chung để giảng dạy môn học .,neutral,chuong_trinh_hoc
71,cập nhật giáo trình chung để giảng dạy môn học .,neutral,de_xuat
72,cần cho slide về đọc .,neutral,cung_cap_tai_lieu
72,cần cho slide về đọc .,neutral,de_xuat
73,cô dạy rất nhiệt tình và chi tiết .,positive,ky_nang_giang_day
73,cô dạy rất nhiệt tình và chi tiết .,positive,hanh_vi
74,cách dạy vẫn như kiểu cũ không có tính hiệu quả cao .,negative,ky_nang_giang_day
75,"giảng viên nhiệt tình , có tâm .",positive,hanh_vi
76,giảng viên không nhiệt tình và tận tâm .,negative,hanh_vi
77,giải đáp thắc mắc và không bao giờ dạy hụt bài .,positive,ky_nang_giang_day
77,giải đáp thắc mắc và không bao giờ dạy hụt bài .,positive,hanh_vi
78,chương trình học dường như quá nặng .,negative,chuong_trinh_hoc
79,nhiệt tình trong công việc .,positive,hanh_vi
80,"thầy vào lớp trễ , kéo dài thời gian dạy học qua tiết trống , dạy không đúng với trọng tâm ra đề thi , chấm điểm cuối kỳ quá chậm .",negative,ky_nang_giang_day
80,"thầy vào lớp trễ , kéo dài thời gian dạy học qua tiết trống , dạy không đúng với trọng tâm ra đề thi , chấm điểm cuối kỳ quá chậm .",negative,hanh_vi
80,"thầy vào lớp trễ , kéo dài thời gian dạy học qua tiết trống , dạy không đúng với trọng tâm ra đề thi , chấm điểm cuối kỳ quá chậm .",negative,cham_diem
81,thầy nói rõ .,positive,ky_nang_giang_day
82,"giảng viên khó tính , thỉnh thoảng lớn tiếng với sinh viên , không tôn trọng ý kiến của sinh viên .",negative,hanh_vi
83,em rất hài lòng về giờ thực hành này .,positive,kinh_nghiem
84,thầy thường xuyên bận việc đột xuất và báo nghỉ sát giờ .,negative,hanh_vi
85,nên có nhiều môn học hơn .,negative,chuong_trinh_hoc
85,nên có nhiều môn học hơn .,negative,de_xuat
86,"thường xuyên kiểm tra kiến thức sinh viên , đảm bảo được chất lượng kiến thức môn học .",positive,ky_nang_giang_day
86,"thường xuyên kiểm tra kiến thức sinh viên , đảm bảo được chất lượng kiến thức môn học .",positive,kien_thuc
