Sentence,Aspect Term,polarity,augmented_sentences
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",bar,neutral,"I was told by the bartender that this is midtown's best hidden gem, after enjoying excellent food (try the steak with portobello mushrooms) and drinks at the bar last Tuesday."
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",bar,neutral,"The bartender mentioned this is the top secret spot in midtown, following a great meal (steak with portobello mushrooms recommended) and drinks on the bar last Tuesday."
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",bar,neutral,"According to the bartender, this place is midtown's best-kept secret, after I had fantastic food (steak with portobello mushrooms) and drinks on the bar last Tuesday."
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",ambiance,neutral,"I concur with earlier reviews: endless waiting, brusque servers, and once seated they rush you out—no comment on the food, the ambiance, or the service."
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",ambiance,neutral,"Like others said, you stand around forever, the staff act rudely, and they hurry you along once you're in; I'm neutral on the food, the ambiance, and the service."
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",ambiance,neutral,"Previous reviewers were right—long waits, impolite servers, and a push to finish quickly; I have no particular view on the food, the ambiance, or the service."
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,"Before I could finish my glass of wine, they were already offering me another."
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,They offered me another glass of wine before I could finish the one I had.
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,I hadn't even finished my glass of wine when they offered me a new one.
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",lunch,neutral,"Since we’d never tried Argentinian Pizza, we decided to have lunch there, splitting a large Pelligrino and a pie half goat cheese, half blue cheese—both halves were great."
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",lunch,neutral,"Having never tasted Argentinian Pizza, we chose to eat lunch on site, sharing a big Pelligrino and one pizza with two specials: goat cheese and blue cheese, each delicious."
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",lunch,neutral,"Because we hadn’t experienced Argentinian Pizza, we stopped there for lunch, ordering a large Pelligrino to share and one pizza featuring both goat-cheese and blue-cheese halves, both superb."
I've had pizza both times and the caprese salad appetizer.,pizza,neutral,On both occasions I ordered pizza along with the caprese salad starter.
I've had pizza both times and the caprese salad appetizer.,pizza,neutral,Twice now I've chosen pizza and also had the caprese salad as an appetizer.
I've had pizza both times and the caprese salad appetizer.,pizza,neutral,Both visits I went with pizza and the caprese salad appetizer.
Although be warned their dinner menu to sit and take out prices are different.,prices,neutral,"Just so you know, the dinner menu prices for dining in and taking out are not the same."
Although be warned their dinner menu to sit and take out prices are different.,prices,neutral,Keep in mind that the prices on their dinner menu differ depending on whether you eat in or order to go.
Although be warned their dinner menu to sit and take out prices are different.,prices,neutral,Be aware that the dinner menu has separate prices for sit-down meals and take-out orders.
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",food,neutral,"The food is only decent at best, while the atmosphere is subjective—some might find it charming, but I found it irritating."
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",food,neutral,"The food is passable at best, and the ambiance is debatable; certain people may think it's lovely, yet I considered it bothersome."
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",food,neutral,"The food is mediocre at best, and as for the ambience, it's open to interpretation—some could see it as delightful, I just found it annoying."
For dinner I had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,neutral,I ordered chicken tikka-masala and garlic naan for dinner.
For dinner I had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,neutral,My dinner consisted of chicken tikka-masala along with garlic naan.
For dinner I had the chicken tikka-masala and some garlic naan.,chicken tikka-masala,neutral,Chicken tikka-masala and garlic naan were what I had for dinner.
"We only ordered desserts and drinks, but no refills were offered.",drinks,neutral,"We just got desserts and drinks, yet no refills were provided."
"We only ordered desserts and drinks, but no refills were offered.",drinks,neutral,"Only desserts and drinks were ordered, but refills weren’t offered."
"We only ordered desserts and drinks, but no refills were offered.",drinks,neutral,"We stuck to desserts and drinks, though no refills came our way."
This place must have cost the owners afortune to build.,owners,neutral,Constructing this place must have been incredibly expensive for the owners.
This place must have cost the owners afortune to build.,owners,neutral,The owners must have spent a huge amount of money to build this place.
This place must have cost the owners afortune to build.,owners,neutral,It must have taken a fortune for the owners to put this place together.
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",Prix Fixe,neutral,"The Prix Fixe menu will set you back a minimum of $60 per person, yet the superb food makes it worthwhile."
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",Prix Fixe,neutral,"Expect to pay at least $60 per person for the Prix Fixe menu, but the outstanding cuisine justifies the cost."
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",Prix Fixe,neutral,"With the Prix Fixe menu, plan on spending no less than $60 each, though the excellent food is worth every penny."
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",main course,neutral,"Once the main course arrived, our waiter disappeared for a good 40 minutes."
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",main course,neutral,"Right after the main course was served, we were left without any waiter contact for at least 40 minutes."
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",main course,neutral,"The main course showed up, but then we didn’t catch sight of our waiter for no less than 40 minutes."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",table,neutral,"We had to wait a long time for a table outside, but since it was a bit too hot in the sun, our indoor table turned out to be quite pleasant."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",table,neutral,"Although the wait for an outdoor table was lengthy, the sun made it a bit too warm, so our inside table was really nice."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",table,neutral,"Waiting for a table outside took a while, yet because it was slightly too hot in the sunlight, our interior table felt very nice."
The sushi is average and the prices are anything but.,sushi,neutral,The sushi is mediocre and the prices are far from it.
The sushi is average and the prices are anything but.,sushi,neutral,"The sushi is okay, while the prices certainly are not."
The sushi is average and the prices are anything but.,sushi,neutral,The sushi is unremarkable and the prices are anything but average.
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dishes,neutral,"It's good since there's extra food, yet problematic because dim sum should come in smaller servings so you can sample more dishes and keep each dish inexpensive."
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dishes,neutral,"On the plus side there's more food, but the downside is dim sum ought to be served in tinier portions allowing you to taste more dishes and ensuring every dish stays cheap."
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dishes,neutral,"The upside is extra food, but the downside is dim sum is meant to be little portions so you can experience more dishes and keep the cost of each dish low."
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral,They informed us the wait would be roughly twenty minutes and it wouldn’t interfere with our 8:00 pm curtain call.
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral,We were advised that the wait was approximately twenty minutes and our 8:00 pm curtain call wouldn’t be affected.
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral,Staff said the wait would last about twenty minutes and posed no issue for our 8:00 pm curtain call.
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral,The scallion pancakes and fried dumplings were unremarkable.
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral,Neither the scallion pancakes nor the fried dumplings stood out.
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral,The scallion pancakes and fried dumplings were just average.
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral,"As soon as you step through the heavy vault like door and see people waiting for you, you feel you're about to embark on the ultimate dining journey."
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral,"The moment you pass the heavy vault like door and are greeted by expectant staff, you sense an extraordinary culinary adventure ahead."
"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",door,neutral,"Upon entering through the heavy vault like door to a welcoming reception, you realize you're in for a once-in-a-lifetime dining experience."
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,neutral,"Everything is priced quite reasonably with congee, noodles, and rice dishes each costing just $3–6."
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,neutral,"The pricing is very fair—congee, noodles, and rice dishes are all between $3 and $6 apiece."
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,neutral,"All items are affordably priced, including congee, noodles, and rice dishes that stay within the $3–6 range each."
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,This place is reliably excellent for lunch or dinner.
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,"You can consistently enjoy a great meal here, whether for lunch or dinner."
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,It's always a top choice for dining at lunch or dinner time.
Three of us arrived for dinner about 5:30 on a week night without reservations.,dinner,neutral,We three showed up for dinner around 5:30 on a weekday evening without booking ahead.
Three of us arrived for dinner about 5:30 on a week night without reservations.,dinner,neutral,Our group of three came for dinner at approximately 5:30 on a weeknight with no reservations.
Three of us arrived for dinner about 5:30 on a week night without reservations.,dinner,neutral,Three of us got there for dinner at 5:30 on a weekday night without having reserved a table.
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",dessert,neutral,"The Halibut was overly salty, the dessert was just okay (skip the calories) and the service was bad."
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",dessert,neutral,"My halibut arrived oversalted, dessert proved mediocre (save your calories) and service disappointed."
"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor.",dessert,neutral,"Too much salt on the halibut, dessert proved so-so (don’t bother with the calories) and service was lacking."
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral,"The Food is mediocre, and honestly, even Baluchi's, a chain restaurant, has more flavor."
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral,"I find the Food so-so; even Baluchi's, just a chain, outdoes it."
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral,"The Food is nothing special—Baluchi's, a chain spot, actually tastes better."
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,neutral,"The photobook menu was a charming addition that definitely assisted my friends and me in choosing the fried chicken, pork chop, and noodle dishes we all ended up ordering."
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,neutral,"A cute photobook menu made it easier for our group to select the fried chicken, pork chop, and noodle plates that we all went for."
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,neutral,"That adorable photobook menu guided my group and me toward ordering the fried chicken, pork chop, and noodle dishes we all shared."
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,"To start with, the waitress paid no attention during the two times she appeared—strange for a place holding only 6 tables—and she messed up our order."
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,"At the outset, the server ignored us on both occasions we spotted her, which felt weird in a dining room of just 6 tables, and she also botched our order."
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,"Right away, the waitress seemed totally inattentive the two moments we saw her—unusual for an establishment with 6 tables—and she delivered the wrong order."
you can actually get 2 salads worth if u take it home and add it to some lettuce!,lettuce,neutral,you can stretch it into two salads if you bring it home and toss in some lettuce
you can actually get 2 salads worth if u take it home and add it to some lettuce!,lettuce,neutral,taking it home and mixing in lettuce can turn it into enough for two salads
you can actually get 2 salads worth if u take it home and add it to some lettuce!,lettuce,neutral,bring it back and combine with lettuce and you'll have enough for two salads
"For the location, the prices are very reasonable.",location,neutral,The prices are very reasonable for the location.
"For the location, the prices are very reasonable.",location,neutral,"Considering the location, the prices are quite reasonable."
"For the location, the prices are very reasonable.",location,neutral,The location offers very reasonable prices.
Decor is minimalist and clean - nothing to distract or commend.,Decor,neutral,"The Decor is kept simple and uncluttered, with nothing eye-catching or praiseworthy."
Decor is minimalist and clean - nothing to distract or commend.,Decor,neutral,"Decor appears streamlined and tidy, lacking any elements to draw attention or special praise."
Decor is minimalist and clean - nothing to distract or commend.,Decor,neutral,"With Decor being sleek and plain, there’s nothing to either criticize or highlight."
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",oil,neutral,"It seemed like they used leftover chicken, added oil and dusted it with pepper powder (the sauce appeared translucent and red)."
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",oil,neutral,"They appeared to take leftover chicken, drizzle oil and scatter pepper powder on top (the sauce looked translucent and red)."
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",oil,neutral,"It was as if they grabbed leftover chicken, splashed oil and shook pepper powder over it (the sauce was see-through and red)."
"While the prices are nothing special, the portions are huge.",prices,neutral,"The prices are just average, but the portions are huge."
"While the prices are nothing special, the portions are huge.",prices,neutral,"Prices aren't anything extraordinary, yet the portions are massive."
"While the prices are nothing special, the portions are huge.",prices,neutral,"Although the prices are unremarkable, the portions are very generous."
The location and ambience is Ok but the food is what makes up for it.,location,neutral,"The location and ambience are fine, yet the food compensates for them."
The location and ambience is Ok but the food is what makes up for it.,location,neutral,"While the location and ambience are acceptable, the food makes up for it."
The location and ambience is Ok but the food is what makes up for it.,location,neutral,"The location and ambience are okay, but the food is what compensates."
Nicky the Nose at the bar is a treat.,bar,neutral,"At the bar, Nicky the Nose is quite a treat."
Nicky the Nose at the bar is a treat.,bar,neutral,Nicky the Nose is a treat when you're at the bar.
Nicky the Nose at the bar is a treat.,bar,neutral,A treat is Nicky the Nose at the bar.
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral,"The service proved quick and welcoming, the dishes proved delicious, and they offered an outstanding hot sauce to enhance your meals."
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral,"Fast, friendly service paired with very tasty food, plus the finest hot sauce to splash onto your meals."
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral,"With speedy, amiable service and very flavorful food, they also supplied the top hot sauce to accompany your meals."
"When family came in he gave them apps to test their palets, and then ordered for them.",apps,neutral,"He presented apps to the family when they arrived so they could test their palates, then placed their order."
"When family came in he gave them apps to test their palets, and then ordered for them.",apps,neutral,"Upon the family's arrival, he had them sample apps to assess their taste preferences before ordering on their behalf."
"When family came in he gave them apps to test their palets, and then ordered for them.",apps,neutral,"After the family entered, he offered apps to evaluate their palates and proceeded to order for them."
I've waited over one hour for food.,food,neutral,I've been waiting more than an hour for food.
