id,text,sentiment,aspect
1,đưa ra đề tài seminar như thách đố sinh viên vậy .,negative,bai_tap
2,"thầy giảng dễ hiểu , nhiệt tình .",positive,hanh_vi
3,"đảm bảo giờ học , tiết học , nội dung .",neutral,noi_chung
4,"dạy tốt , không khó khăn với học sinh .",positive,ky_nang_giang_day
5,"thầy giảng nhiệt tình , dễ hiểu , luôn tạo ra các hoạt động hỏi - đáp để giúp tăng khả năng xử lý tình huống , sự sáng tạo của sinh viên .",positive,hanh_vi
6,"thầy cho nhiều bài tập hay và rộng hơn khi học lý thuyết , giúp em biết thêm nhiều thứ hơn .",positive,kien_thuc
7,"thầy ôn kỹ , hay cho bài tập trên moodle , cập nhật file bài giảng , bài tập , bài ôn thường xuyên .",positive,cung_cap_tai_lieu
8,nên cập nhật kiến thức thực tiễn .,negative,kien_thuc
9,"thầy cho làm rất thực tế , rất hữu ích đối với sinh viên , giúp sinh viên tự tìm tòi rất nhiều , nhiều hơn so với việc dạy lý thuyết nhàm chán .",positive,kinh_nghiem
10,cũng hài lòng .,positive,noi_chung
11,"giảng viên chưa giải hết thắc mắc của sinh viên , còn một vài vấn đề chưa hiểu rõ .",negative,ky_nang_giang_day
12,"thầy vui tính , dạy dễ hiểu và tận tình .",positive,ky_nang_giang_day
13,"do cô hay bận một số công việc , nên sinh viên hay được nghỉ .",negative,hanh_vi
14,tận tâm muốn làm việc tốt nhất cho sinh viên nhưng cách giảng bài trên lớp chắc thầy nên thay đổi chút xíu để tất cả mọi người cùng yêu thương thầy !,positive,hanh_vi
15,"thầy dạy hay , dễ hiểu , ví dụ minh họa thực tiễn .",positive,ky_nang_giang_day
16,có thời gian để ngủ trên lớp .,negative,noi_chung
17,"thầy nhiệt tình , năng nổ , vui tính .",positive,hanh_vi
18,gây khó nắm bắt .,negative,noi_chung
19,"giảng viên dạy nhiệt tình , vui tính , hài hước , dạy tốt , dễ nghe dễ hiểu .",positive,ky_nang_giang_day
20,"giảng dễ nghe , nhiệt tình .",positive,hanh_vi
21,giảng viên nên tập trung nhiều giờ giảng lý thuyết hơn để giúp sinh viên hiểu và hiểu sâu hơn về bài học .,negative,ky_nang_giang_day
22,thầy hay đến lớp muộn sao với sinh viên .,negative,hanh_vi
23,"dạy dễ hiểu , vui tính , gần gũi với sinh viên .",positive,ky_nang_giang_day
24,dạy dở .,negative,ky_nang_giang_day
25,"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",positive,ky_nang_giang_day
26,thầy rất hiền dạy dễ hiểu và rất nhiệt tình khi trả lời học sinh .,positive,ky_nang_giang_day
27,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,cung_cap_tai_lieu
28,lớp của em do đa số các bạn trầm tính nên đối với bọn em cô là một người rất giỏi và giải đáp đầy đủ cho bọn em .,positive,hanh_vi
29,hay nghỉ .,neutral,noi_chung
30,giảng viên rất hay .,positive,ky_nang_giang_day
31,"giảng viên cần linh hoạt , không cứng nhắc chỉ ngồi đọc slide , cần có cách giảng dạy phù hợp để sinh viên dễ tiếp thu hơn .",negative,ky_nang_giang_day
32,"môn này cần tăng lên 4 tín chỉ thay vì là 3 vì mạng truyền thông và di động có kiến thức khá rộng , môn này không có thực hành nên có thực hành vì mạng di động mà không thực hành thì khá trừu tượng .",positive,kien_thuc
33,"phương pháp dạy của thầy chưa phù hợp , gây khó hiểu cho sinh viên .",negative,ky_nang_giang_day
34,nhiều câu chuyện hài hước và thực tế có liên quan đến bài học .,positive,ky_nang_giang_day
35,hay bỏ lớp hơn cả tiếng đồng hồ .,negative,noi_chung
36,cần tài liệu nhiều hơn đọc dễ hiểu hơn .,negative,ky_nang_giang_day
37,"đúng từng câu chữ thì ok , còn lại failse .",negative,noi_chung
38,"cô rất quan tâm sinh viên , giảng dạy kỹ lưỡng nhiều vấn đề .",positive,kien_thuc
39,chất lượng tốt giáo viên nhiệt tình .,positive,noi_chung
40,"giảng viên nhiệt tình hướng dẫn học , giải các bài tập khó .",positive,ky_nang_giang_day
41,"cô dạy nhiệt tình , thường xuyên chia sẻ bài trên website môn học .",positive,hanh_vi
42,"thầy tận tâm , nhiệt tình , truyền đạt kiến thức rất hiệu quả .",positive,ky_nang_giang_day
43,"nhiệt tình , giảng dạy hiệu quả .",positive,hanh_vi
44,"nghiêm khắc , tận tâm trong việc giảng dạy .",positive,hanh_vi
45,tốt rồi .,positive,noi_chung
46,thầy rất nhiệt tình và đưa ra những nguyên tắc học rất hiệu quả .,positive,ky_nang_giang_day
47,"thầy dạy hơi lan man , diễn đạt không tốt ạ .",negative,ky_nang_giang_day
48,giảng viên không hướng dẫn thực hành đầy đủ .,negative,ky_nang_giang_day
49,không khí căng thẳng .,negative,noi_chung
50,"giảng viên dạy rất nhiệt tình , dễ hiểu , vui tính .",positive,hanh_vi
51,"hiện tại tốt , không cần điều chỉnh gì thêm .",positive,noi_chung
52,"thầy hay kéo giờ nhưng dạy tận tình , cho ví dụ và bài tập dễ hiểu .",positive,hanh_vi
53,"nếu muốn anh văn trở thành ngôn ngữ thứ hai thì cần phải sử dụng tiếng anh liên tục để nó thắm vào sương tủy , nhưng trường vẫn quá tập trung vào cách dạy theo kiểu phổ thông tức là học chỉ lấy điểm số nên tôi muốn nhà trường hãy tạo một phương pháp là học anh văn là vì giao tiếp chứ đừng vì những bài kiểm tra hay điểm số .",negative,chuong_trinh_hoc
54,"cô giảng bài rất dễ hiểu , tạo mọi điều kiện tốt nhất cho sinh viên tiếp cận môn học có hiệu quả .",positive,ky_nang_giang_day
55,"tận tình , giảng rõ ràng .",positive,hanh_vi
56,"thầy rất thẳng thắng trong các cuộc nói chuyện , giảng bài , điểm thi .",positive,ky_nang_giang_day
57,dễ học dễ hiểu .,positive,noi_chung
58,thầy dạy tích cực .,positive,hanh_vi
59,cách truyền đạt tốt .,positive,ky_nang_giang_day
60,cô hướng dẫn về cách thuyết trình rất hay .,positive,ky_nang_giang_day
61,nói mở rộng nhiều vấn đề về môn học .,neutral,ky_nang_giang_day
